gameId,playId,start_frame,end_frame
2022090800,101,6,45
2022090800,146,6,52
2022090800,191,6,47
2022090800,299,6,49
2022090800,343,6,35
2022090800,393,6,52
2022090800,529,6,50
2022090800,896,6,37
2022090800,933,6,65
2022090800,1187,6,51
2022090800,1385,6,72
2022090800,1406,6,43
2022090800,1736,6,27
2022090800,1946,6,49
2022090800,2043,6,48
2022090800,2072,6,69
2022090800,2163,6,68
2022090800,2360,6,36
2022090800,2485,6,48
2022090800,2506,6,56
2022090800,2551,6,59
2022090800,2839,6,76
2022090800,3145,6,46
2022090800,3283,6,63
2022090800,3304,6,49
2022090800,3341,6,49
2022090800,3362,6,29
2022090800,3636,6,36
2022091100,78,6,77
2022091100,145,6,43
2022091100,301,6,46
2022091100,395,6,51
2022091100,501,6,46
2022091100,741,6,55
2022091100,762,6,53
2022091100,807,6,40
2022091100,870,6,61
2022091100,914,6,47
2022091100,935,6,56
2022091100,956,6,43
2022091100,996,6,41
2022091100,1046,6,45
2022091100,1067,6,55
2022091100,1088,6,51
2022091100,1170,6,39
2022091100,1260,6,51
2022091100,1413,6,48
2022091100,1608,6,64
2022091100,1651,6,44
2022091100,2048,6,47
2022091100,2069,6,57
2022091100,2183,6,56
2022091100,2332,6,68
2022091100,2353,6,43
2022091100,2491,6,73
2022091100,2595,6,40
2022091100,2720,6,40
2022091100,2741,6,57
2022091100,2878,6,43
2022091100,2899,6,42
2022091100,2984,6,59
2022091100,3289,6,36
2022091100,3334,6,72
2022091100,3379,6,70
2022091100,3757,6,42
2022091100,3778,6,39
2022091100,3888,6,57
2022091101,158,6,61
2022091101,213,6,46
2022091101,251,6,52
2022091101,296,6,57
2022091101,361,6,58
2022091101,417,6,43
2022091101,521,6,43
2022091101,620,6,47
2022091101,641,6,63
2022091101,993,6,48
2022091101,1101,6,55
2022091101,1213,6,58
2022091101,1516,6,62
2022091101,1564,6,72
2022091101,1616,6,64
2022091101,1826,6,23
2022091101,1901,6,43
2022091101,1980,6,57
2022091101,2001,6,58
2022091101,2051,6,52
2022091101,2320,6,48
2022091101,2365,6,70
2022091101,2386,6,49
2022091101,2478,6,74
2022091101,2501,6,47
2022091101,2545,6,35
2022091101,2629,6,47
2022091101,2683,6,46
2022091101,2783,6,44
2022091101,2930,6,45
2022091101,3040,6,50
2022091101,3080,6,65
2022091101,3125,6,55
2022091101,3221,6,40
2022091101,3287,6,79
2022091101,3315,6,72
2022091101,3336,6,41
2022091101,3357,6,51
2022091101,3378,6,54
2022091101,3399,6,45
2022091101,3569,6,54
2022091101,3615,6,48
2022091101,3669,6,44
2022091101,3841,6,42
2022091101,3923,6,41
2022091101,3961,6,32
